date,entry_time,exit_time,direction,entry_price,exit_price,qty,r_pts,pnl_pts,pnl_R,pnl_usd,pnl_pct,duration_min,exit_reason,meta
2010-07-16,09:39,09:55,SHORT,1083.0000,1075.5000,1.00,3.7500,7.5000,2.0000,375.00,0.000000,16.00,target,strategy=b1b2;target_mult=2.;abr_prev=3.46875;b1_range=3.25;b2_follow=good
2010-07-21,09:35,09:49,SHORT,1083.5000,1079.0000,1.00,2.2500,4.5000,2.0000,225.00,0.000000,14.00,target,strategy=b1b2;target_mult=2.;abr_prev=1.90625;b1_range=1.75;b2_follow=good
2010-07-28,09:35,09:47,LONG,1110.0000,1107.5000,1.00,2.5000,-2.5000,-1.0000,-125.00,0.000000,12.00,stop,strategy=b1b2;target_mult=2.;abr_prev=1.34375;b1_range=2.;b2_follow=good
2010-08-09,09:35,10:10,SHORT,1121.7500,1121.7500,1.00,2.7500,0.0000,0.0000,0.00,0.000000,35.00,stop,strategy=b1b2;target_mult=2.;abr_prev=1.65625;b1_range=2.25;b2_follow=good
2010-08-13,09:36,11:36,LONG,1081.7500,1076.7500,1.00,5.0000,-5.0000,-1.0000,-250.00,0.000000,120.00,stop,strategy=b1b2;target_mult=1.;abr_prev=1.875;b1_range=4.5;b2_follow=poor
2010-08-25,09:39,09:46,LONG,1046.7500,1043.0000,1.00,3.7500,-3.7500,-1.0000,-187.50,0.000000,7.00,stop,strategy=b1b2;target_mult=1.;abr_prev=1.78125;b1_range=3.25;b2_follow=good
2010-08-26,09:35,09:52,SHORT,1056.5000,1053.7500,1.00,2.7500,2.7500,1.0000,137.50,0.000000,17.00,target,strategy=b1b2;target_mult=1.;abr_prev=1.875;b1_range=2.25;b2_follow=poor
2010-08-27,09:35,09:55,SHORT,1051.0000,1051.0000,1.00,3.5000,0.0000,0.0000,0.00,0.000000,20.00,stop,strategy=b1b2;target_mult=2.;abr_prev=2.34375;b1_range=3.;b2_follow=good
2010-09-06,09:54,11:29,SHORT,1105.2500,1104.5000,1.00,1.5000,0.7500,0.5000,37.50,0.000000,95.00,eod_flat,strategy=b1b2;target_mult=1.;abr_prev=1.59375;b1_range=1.;b2_follow=poor
2010-09-10,09:38,09:50,SHORT,1103.5000,1106.5000,1.00,3.0000,-3.0000,-1.0000,-150.00,0.000000,12.00,stop,strategy=b1b2;target_mult=1.;abr_prev=1.3125;b1_range=2.5;b2_follow=good
2010-09-20,09:35,09:54,SHORT,1122.5000,1124.7500,1.00,2.2500,-2.2500,-1.0000,-112.50,0.000000,19.00,stop,strategy=b1b2;target_mult=1.;abr_prev=1.21875;b1_range=1.75;b2_follow=poor
2010-10-04,09:38,09:44,LONG,1141.2500,1144.0000,1.00,2.7500,2.7500,1.0000,137.50,0.000000,6.00,target,strategy=b1b2;target_mult=1.;abr_prev=1.40625;b1_range=2.25;b2_follow=good
2010-10-07,09:35,09:40,SHORT,1158.5000,1156.0000,1.00,2.5000,2.5000,1.0000,125.00,0.000000,5.00,target,strategy=b1b2;target_mult=1.;abr_prev=1.15625;b1_range=2.;b2_follow=good
2010-10-12,09:40,09:49,SHORT,1155.7500,1152.5000,1.00,3.2500,3.2500,1.0000,162.50,0.000000,9.00,target,strategy=b1b2;target_mult=1.;abr_prev=1.28125;b1_range=2.75;b2_follow=poor
2010-10-15,09:35,09:45,SHORT,1176.0000,1172.7500,1.00,3.2500,3.2500,1.0000,162.50,0.000000,10.00,target,strategy=b1b2;target_mult=1.;abr_prev=1.8125;b1_range=2.75;b2_follow=good
2010-10-21,09:35,09:37,SHORT,1177.5000,1180.0000,1.00,2.5000,-2.5000,-1.0000,-125.00,0.000000,2.00,stop,strategy=b1b2;target_mult=2.;abr_prev=2.0625;b1_range=2.;b2_follow=poor
2010-10-22,09:35,09:37,SHORT,1176.7500,1179.0000,1.00,2.2500,-2.2500,-1.0000,-112.50,0.000000,2.00,stop,strategy=b1b2;target_mult=2.;abr_prev=1.4375;b1_range=1.75;b2_follow=poor
2010-10-25,09:35,10:00,LONG,1189.0000,1192.2500,1.00,3.2500,3.2500,1.0000,162.50,0.000000,25.00,target,strategy=b1b2;target_mult=1.;abr_prev=1.1875;b1_range=2.75;b2_follow=good
2010-11-09,09:36,10:05,SHORT,1221.0000,1223.7500,1.00,2.7500,-2.7500,-1.0000,-137.50,0.000000,29.00,stop,strategy=b1b2;target_mult=1.;abr_prev=1.40625;b1_range=2.25;b2_follow=good
2010-11-19,09:35,09:50,SHORT,1192.5000,1188.5000,1.00,2.0000,4.0000,2.0000,200.00,0.000000,15.00,target,strategy=b1b2;target_mult=2.;abr_prev=1.40625;b1_range=1.5;b2_follow=good
2010-12-02,09:35,09:59,LONG,1209.0000,1212.0000,1.00,3.0000,3.0000,1.0000,150.00,0.000000,24.00,target,strategy=b1b2;target_mult=1.;abr_prev=1.5625;b1_range=2.5;b2_follow=good
2010-12-08,09:35,09:52,LONG,1226.5000,1226.5000,1.00,2.5000,0.0000,0.0000,0.00,0.000000,17.00,stop,strategy=b1b2;target_mult=2.;abr_prev=1.90625;b1_range=2.;b2_follow=good
2010-12-09,09:35,10:11,SHORT,1233.0000,1230.5000,1.00,2.5000,2.5000,1.0000,125.00,0.000000,36.00,target,strategy=b1b2;target_mult=1.;abr_prev=1.21875;b1_range=2.;b2_follow=good
2010-12-10,09:35,09:55,SHORT,1234.5000,1236.7500,1.00,2.2500,-2.2500,-1.0000,-112.50,0.000000,20.00,stop,strategy=b1b2;target_mult=1.;abr_prev=1.34375;b1_range=1.75;b2_follow=poor
2010-12-13,09:35,09:48,SHORT,1243.7500,1243.7500,1.00,2.0000,0.0000,0.0000,0.00,0.000000,13.00,stop,strategy=b1b2;target_mult=2.;abr_prev=1.15625;b1_range=1.5;b2_follow=good
2010-12-15,09:35,10:00,LONG,1240.7500,1243.0000,1.00,2.2500,2.2500,1.0000,112.50,0.000000,25.00,target,strategy=b1b2;target_mult=1.;abr_prev=1.625;b1_range=1.75;b2_follow=poor
2010-12-31,09:36,09:40,LONG,1252.7500,1251.0000,1.00,1.7500,-1.7500,-1.0000,-87.50,0.000000,4.00,stop,strategy=b1b2;target_mult=1.;abr_prev=0.90625;b1_range=1.25;b2_follow=poor
2011-01-04,09:39,11:06,SHORT,1267.7500,1262.7500,1.00,2.5000,5.0000,2.0000,250.00,0.000000,87.00,target,strategy=b1b2;target_mult=2.;abr_prev=1.4375;b1_range=2.;b2_follow=good
2011-01-24,09:35,10:54,LONG,1281.2500,1284.0000,1.00,2.7500,2.7500,1.0000,137.50,0.000000,79.00,target,strategy=b1b2;target_mult=1.;abr_prev=1.4375;b1_range=2.25;b2_follow=poor
2011-02-02,09:35,09:41,LONG,1301.7500,1299.5000,1.00,2.2500,-2.2500,-1.0000,-112.50,0.000000,6.00,stop,strategy=b1b2;target_mult=1.;abr_prev=1.28125;b1_range=1.75;b2_follow=poor
2011-02-09,09:35,09:51,LONG,1319.5000,1317.2500,1.00,2.2500,-2.2500,-1.0000,-112.50,0.000000,16.00,stop,strategy=b1b2;target_mult=1.;abr_prev=0.8125;b1_range=1.75;b2_follow=poor
2011-02-16,09:35,09:51,LONG,1331.7500,1329.7500,1.00,2.0000,-2.0000,-1.0000,-100.00,0.000000,16.00,stop,strategy=b1b2;target_mult=1.;abr_prev=1.21875;b1_range=1.5;b2_follow=poor
2011-02-18,09:35,10:42,SHORT,1337.7500,1340.0000,1.00,2.2500,-2.2500,-1.0000,-112.50,0.000000,67.00,stop,strategy=b1b2;target_mult=1.;abr_prev=0.875;b1_range=1.75;b2_follow=good
2011-03-11,09:35,11:42,LONG,1294.7500,1299.5000,1.00,4.7500,4.7500,1.0000,237.50,0.000000,127.00,target,strategy=b1b2;target_mult=1.;abr_prev=2.15625;b1_range=4.25;b2_follow=good
