date,pnl_R
2010-07-16,2.000000
2010-07-21,2.000000
2010-07-28,-1.000000
2010-08-09,0.000000
2010-08-13,-1.000000
2010-08-25,-1.000000
2010-08-26,1.000000
2010-08-27,0.000000
2010-09-06,0.500000
2010-09-10,-1.000000
2010-09-20,-1.000000
2010-10-04,1.000000
2010-10-07,1.000000
2010-10-12,1.000000
2010-10-15,1.000000
2010-10-21,-1.000000
2010-10-22,-1.000000
2010-10-25,1.000000
2010-11-09,-1.000000
2010-11-19,2.000000
2010-12-02,1.000000
2010-12-08,0.000000
2010-12-09,1.000000
2010-12-10,-1.000000
2010-12-13,0.000000
2010-12-15,1.000000
2010-12-31,-1.000000
2011-01-04,2.000000
2011-01-24,1.000000
2011-02-02,-1.000000
2011-02-09,-1.000000
2011-02-16,-1.000000
2011-02-18,-1.000000
2011-03-11,1.000000
2011-03-24,1.000000
2011-03-31,-1.000000
2011-04-01,1.000000
2011-04-15,0.000000
2011-04-19,-1.000000
2011-04-21,1.000000
2011-05-09,-1.000000
2011-05-18,-1.000000
2011-05-19,-1.000000
2011-06-09,-1.000000
2011-06-20,1.000000
2011-06-28,-1.000000
2011-07-04,0.166667
2011-07-06,-1.000000
2011-07-19,1.000000
2011-07-27,1.000000
2011-08-11,-1.000000
2011-08-29,1.000000
2011-09-07,-1.000000
2011-09-23,0.000000
2011-10-05,-1.000000
2011-10-07,-1.000000
2011-10-10,2.000000
2011-10-14,-1.000000
2011-10-17,2.000000
2011-10-19,0.000000
2011-11-29,-1.000000
2011-12-09,0.000000
2011-12-13,-1.000000
2011-12-14,-1.000000
2011-12-23,-1.000000
2011-12-27,-1.000000
2012-01-06,1.000000
2012-01-16,-1.000000
2012-01-26,-1.000000
2012-01-27,-1.000000
2012-02-22,-1.000000
2012-03-05,-1.000000
2012-03-15,1.000000
2012-04-13,1.000000
2012-04-27,2.000000
2012-04-30,1.000000
2012-05-01,-1.000000
2012-05-07,0.000000
2012-05-18,0.000000
2012-05-24,0.000000
2012-05-28,-0.466667
2012-05-31,-1.000000
2012-06-04,-1.000000
2012-06-08,-1.000000
2012-06-13,-1.000000
2012-07-10,-1.000000
2012-07-12,0.000000
2012-07-13,1.000000
2012-07-17,-1.000000
2012-07-18,1.000000
2012-07-19,-1.000000
2012-07-24,1.000000
2012-07-30,0.000000
2012-08-07,1.000000
2012-08-08,0.000000
2012-08-10,-1.000000
2012-08-14,1.000000
2012-08-17,-1.000000
2012-08-23,1.000000
2012-09-11,1.000000
2012-09-13,-1.000000
2012-09-14,2.000000
2012-09-18,-1.000000
2012-09-19,-1.000000
2012-10-01,1.000000
2012-10-22,-1.000000
2012-11-02,1.000000
2012-11-09,1.000000
2012-12-12,0.000000
2012-12-17,2.000000
2012-12-19,1.000000
2012-12-28,-1.000000
2013-01-04,-1.000000
2013-01-28,1.000000
2013-02-13,-1.000000
2013-02-19,1.000000
2013-02-21,1.000000
2013-03-01,-1.000000
2013-03-05,0.000000
2013-03-06,-1.000000
2013-03-12,-1.000000
2013-03-21,0.000000
2013-04-02,1.000000
2013-04-18,0.000000
2013-05-01,-1.000000
2013-05-15,-1.000000
2013-06-07,-1.000000
2013-06-10,1.000000
2013-07-01,1.000000
2013-07-24,1.000000
2013-08-06,-1.000000
2013-08-23,1.000000
2013-08-29,1.000000
2013-08-30,1.000000
2013-09-09,0.000000
2013-09-26,1.000000
2013-10-01,1.000000
2013-10-09,1.000000
2013-10-29,-1.000000
2013-11-07,-1.000000
2013-11-08,1.000000
2013-11-15,-1.000000
2013-11-18,-1.000000
2013-12-03,-1.000000
2014-01-28,1.000000
2014-04-01,1.000000
2014-04-04,1.000000
2014-04-22,-1.000000
2014-04-24,1.000000
2014-05-15,1.000000
2014-05-16,1.000000
2014-05-20,1.000000
2014-05-21,1.000000
2014-06-02,1.000000
2014-06-09,1.000000
2014-06-10,-1.000000
2014-06-23,0.000000
2014-06-25,0.000000
2014-07-01,1.000000
2014-07-18,1.000000
2014-07-29,-1.000000
2014-08-15,-1.000000
2014-08-25,-1.000000
2014-09-12,1.000000
2014-09-18,-1.000000
2014-10-01,2.000000
2014-10-02,-1.000000
2014-10-13,-1.000000
2014-10-20,0.000000
2014-10-28,-1.000000
2014-11-24,-1.000000
2014-12-02,1.000000
2014-12-11,1.000000
2014-12-23,0.000000
2015-01-16,-1.000000
2015-01-28,1.000000
2015-02-03,-1.000000
2015-02-05,2.000000
2015-02-10,1.000000
2015-03-02,2.000000
2015-03-23,0.000000
2015-04-22,1.000000
2015-04-24,0.000000
2015-05-01,-1.000000
2015-05-12,1.000000
2015-05-29,1.000000
2015-06-01,1.000000
2015-06-10,1.000000
2015-06-11,-1.000000
2015-06-17,-1.000000
2015-06-22,-1.000000
2015-06-25,1.000000
2015-06-26,-1.000000
2015-07-20,0.000000
2015-07-28,0.000000
2015-08-03,0.000000
2015-08-06,1.000000
2015-08-07,-1.000000
2015-08-28,-1.000000
2015-09-28,1.000000
2015-11-09,-1.000000
2015-11-10,-1.000000
2015-11-11,1.000000
2015-11-16,1.000000
2015-11-17,-1.000000
2015-11-18,0.000000
2015-11-26,0.000000
2015-12-07,1.000000
2015-12-14,-1.000000
2015-12-17,1.000000
2015-12-22,1.000000
2015-12-29,1.000000
2015-12-30,0.000000
2016-01-14,2.000000
2016-01-26,-1.000000
2016-02-01,-1.000000
2016-02-03,2.000000
2016-02-24,1.000000
2016-03-14,-1.000000
2016-03-21,0.000000
2016-03-22,-1.000000
2016-04-25,-1.000000
2016-04-26,-1.000000
2016-04-29,-1.000000
2016-05-09,0.000000
2016-05-10,1.000000
2016-05-18,-1.000000
2016-05-20,1.000000
2016-05-30,-1.000000
2016-06-01,-1.000000
2016-06-08,0.000000
2016-06-13,0.000000
2016-06-14,1.000000
2016-06-20,1.000000
2016-07-11,-1.000000
2016-07-12,-1.000000
2016-07-13,1.000000
2016-07-15,1.000000
2016-07-27,1.000000
2016-07-29,-1.000000
2016-08-01,0.000000
2016-08-11,-1.000000
2016-08-26,-1.000000
2016-09-01,-1.000000
2016-09-12,1.000000
2016-09-14,-1.000000
2016-09-15,-1.000000
2016-09-21,-1.000000
2016-09-26,-1.000000
2016-10-10,0.000000
2016-10-12,-1.000000
2016-10-19,0.000000
2016-10-25,-1.000000
2016-10-27,1.000000
2016-11-08,-1.000000
2016-11-21,-1.000000
2016-11-24,-1.000000
2016-12-01,1.000000
2016-12-06,0.000000
2016-12-14,-1.000000
2016-12-19,-1.000000
2016-12-27,1.000000
2016-12-28,2.000000
2017-01-05,-1.000000
